slim_id	slim_name	entrez_gene_id	Gene	direction
DOID:1324	lung cancer	27040	LAT	down
DOID:1324	lung cancer	7296	TXNRD1	up
DOID:1324	lung cancer	221472	FGD2	down
DOID:1324	lung cancer	5031	P2RY6	up
DOID:1324	lung cancer	5033	P4HA1	up
DOID:1324	lung cancer	57111	RAB25	up
DOID:1324	lung cancer	7957	EPM2A	down
DOID:1324	lung cancer	266629	SEC14L3	down
DOID:1324	lung cancer	64943	NT5DC2	up
DOID:1324	lung cancer	6363	CCL19	up
DOID:1324	lung cancer	58477	SRPRB	up
DOID:1324	lung cancer	6382	SDC1	up
DOID:1324	lung cancer	6391	SDHC	up
DOID:1324	lung cancer	29880	ALG5	up
DOID:1324	lung cancer	64866	CDCP1	up
DOID:1324	lung cancer	7862	BRPF1	down
DOID:1324	lung cancer	127544	RNF19B	up
DOID:1324	lung cancer	7779	SLC30A1	up
DOID:1324	lung cancer	7756	ZNF207	up
DOID:1324	lung cancer	6692	SPINT1	up
DOID:1324	lung cancer	6696	SPP1	up
DOID:1324	lung cancer	6659	SOX4	up
DOID:1324	lung cancer	6598	SMARCB1	up
DOID:1324	lung cancer	7694	ZNF135	down
DOID:1324	lung cancer	1999	ELF3	up
DOID:1612	breast cancer	23645	PPP1R15A	down
DOID:1612	breast cancer	10966	RAB40B	down
DOID:1612	breast cancer	10982	MAPRE2	down
DOID:1612	breast cancer	10947	AP3M2	up
DOID:1612	breast cancer	10899	JTB	up
DOID:1612	breast cancer	53	ACP2	up
DOID:1612	breast cancer	10797	MTHFD2	up
DOID:1612	breast cancer	10667	FARS2	down
DOID:1612	breast cancer	23710	GABARAPL1	down
DOID:1612	breast cancer	23213	SULF1	up
DOID:1612	breast cancer	81563	C1orf21	down
DOID:1612	breast cancer	7048	TGFBR2	down
DOID:1612	breast cancer	7008	TEF	down
DOID:1612	breast cancer	29102	DROSHA	down
DOID:1612	breast cancer	81792	ADAMTS12	up
DOID:1612	breast cancer	7170	TPM3	down
DOID:1612	breast cancer	23092	ARHGAP26	down
DOID:1612	breast cancer	7111	TMOD1	down
DOID:1612	breast cancer	7150	TOP1	up
